episode,timestep,reward
94,2000,21.1277
184,4000,22.2778
254,6000,28.5571
331,8000,25.3636
390,10000,34.6271
432,12000,46.8333
462,14000,65.4667
484,16000,90.1364
501,18000,119.4118
519,20000,111.2222
534,22000,137.4667
543,24000,177.7778
551,26000,278.625
558,28000,287.8571
