episode,timestep,reward
102,2000,19.5588
200,4000,20.4184
274,6000,27.0135
340,8000,30.1667
390,10000,39.5
443,12000,37.6604
468,14000,75.84
492,16000,88.0833
511,18000,103.5789
527,20000,115.1875
539,22000,174.6667
549,24000,211.1
557,26000,238.25
566,28000,228.1111
574,30000,252.125
580,32000,291.6667
587,34000,292.7143
595,36000,257.125
600,38000,417.4
605,40000,375.4
609,42000,458.75
614,44000,468.2
618,46000,386.0
623,48000,458.8
628,50000,425.2
632,52000,492.5
636,54000,500.0
640,56000,500.0
644,58000,410.5
649,60000,449.0
653,62000,500.0
657,64000,500.0
661,66000,468.0
